Date,R
2020-09-07,0.849348021398259
2020-09-08,0.852393284841592
2020-09-09,0.876780565736347
2020-09-10,0.908011975500136
2020-09-11,0.94586759485295
2020-09-12,0.973053599928966
2020-09-13,0.993091998986039
2020-09-14,1.00716433052909
2020-09-15,1.02347010325737
2020-09-16,1.03452720683501
2020-09-17,1.04634461221451
2020-09-18,1.05679624595341
2020-09-19,1.0673867046657
2020-09-20,1.08594083680665
2020-09-21,1.09668548928919
2020-09-22,1.06729199057044
2020-09-23,1.04440936484512
2020-09-24,1.03292273561928
2020-09-25,1.02286840680403
2020-09-26,1.02143575282684
2020-09-27,1.01962227442606
2020-09-28,1.01409575018541
2020-09-29,1.02372873528491
2020-09-30,1.02754924765742
2020-10-01,1.03831486777879
2020-10-02,1.05722005478096
2020-10-03,1.06497080504439
